(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2015/11/13,"14,258,484","1,536,868","94,841","94,776","1,864"
2015/11/14,"14,277,412","1,193,942","74,991","74,936",694
2015/11/15,"14,047,670","1,033,033","56,121","56,082",377
2015/11/16,"14,436,470","1,299,809","68,111","68,045",36
2015/11/17,"14,586,326","1,419,844","99,452","99,342","3,489"
2015/11/18,"14,314,000","1,402,217","86,573","86,312","1,637"
2015/11/19,"14,173,676","1,354,267","88,341","88,281","1,751"
2015/11/20,"13,837,530","1,363,869","82,295","82,215","1,774"
2015/11/21,"14,199,306","1,129,589","68,491","68,419",635
2015/11/22,"13,396,729","1,024,853","56,713","56,627",282
2015/11/23,"15,101,864","1,291,473","80,664","80,513",759
2015/11/24,"14,290,546","1,411,777","84,886","84,748","1,732"
2015/11/25,"13,721,391","1,274,358","82,849","82,723","1,886"
2015/11/26,"13,771,755","1,390,599","86,653","86,586","1,274"
2015/11/27,"13,683,573","1,436,665","91,755","91,608","1,572"
2015/11/28,"13,935,864","1,145,921","80,884","80,849",376
2015/11/29,"13,934,213","1,049,488","65,239","65,139",265
2015/11/30,"14,200,612","1,218,927","66,367","66,243",9
2015/12/1,"14,071,678","1,583,261","103,270","103,170","1,010"
2015/12/2,"13,720,627","1,362,330","88,817","88,755","3,425"
2015/12/3,"13,499,804","1,329,867","82,132","82,077","1,736"
2015/12/4,"13,895,736","1,543,598","85,355","85,249","2,168"
2015/12/5,"13,784,892","1,153,363","72,601","72,506",958
2015/12/6,"13,155,872","965,555","60,602","60,570",381
2015/12/7,"14,210,344","1,250,792","81,339","81,261",764
2015/12/8,"14,164,181","1,463,236","94,971","94,917",894
